age,income,gender,region
56,162728.0,Female,West
46,166965.0,Female,South
32,36493.0,Female,East
60,,Female,North
25,115872.0,Male,South
38,81779.0,Female,North
56,189524.0,Male,East
36,164338.0,Male,North
40,141187.0,Male,East
28,136603.0,Male,West
28,81607.0,Female,South
41,36940.0,Male,West
53,,Male,South
57,147880.0,Non-binary,West
41,118408.0,Male,East
20,54815.0,Male,South
39,181941.0,Male,West
19,,Male,North
41,80107.0,Male,North
61,102793.0,Male,West
47,167754.0,Female,East
55,39622.0,Male,West
19,50408.0,Male,North
38,159909.0,Female,South
50,166479.0,Male,South
29,180381.0,Non-binary,West
39,113190.0,Female,South
61,169967.0,Male,North
42,20370.0,Female,South
44,134212.0,Male,West
59,20486.0,Male,West
45,43762.0,Female,West
33,46613.0,Female,North
32,23196.0,Female,East
64,120565.0,Non-binary,South
61,96349.0,Male,West
20,84839.0,Female,East
54,192988.0,Female,West
24,,,West
38,179297.0,Female,North
26,65853.0,Non-binary,North
56,183347.0,Male,East
35,92379.0,Female,West
21,152177.0,Male,South
42,136074.0,Male,South
31,63209.0,Non-binary,South
26,193559.0,Male,East
43,169123.0,Non-binary,North
19,114244.0,Male,East
37,120300.0,Female,North
45,134682.0,Male,South
64,77175.0,Male,South
24,157921.0,Male,North
61,121551.0,Female,South
25,38976.0,Male,East
64,150617.0,Female,North
52,119794.0,Male,South
31,76866.0,Male,West
34,137752.0,Male,South
53,67078.0,Male,West
57,51113.0,Female,South
21,35401.0,Female,West
19,163956.0,Male,South
23,188635.0,Female,West
59,185486.0,Female,North
21,167214.0,Male,North
46,91492.0,Male,West
35,96693.0,Female,South
43,55135.0,Male,East
61,47862.0,Male,East
51,156262.0,Male,East
27,90199.0,Female,East
53,125366.0,Male,West
31,24331.0,Male,North
48,64648.0,Male,North
65,48549.0,Male,East
32,45761.0,Male,North
25,23262.0,Non-binary,West
31,,Male,East
40,107858.0,Female,West
57,104667.0,Male,West
38,24677.0,Female,South
33,150334.0,Female,West
62,121437.0,Male,South
35,169667.0,Female,East
64,80148.0,Female,West
41,,Female,North
43,95271.0,Male,East
42,54457.0,,West
62,62531.0,Female,West
58,148027.0,Non-binary,North
46,65771.0,Female,South
32,113135.0,Female,West
62,86354.0,Female,West
18,132743.0,Female,North
42,188361.0,Non-binary,East
24,53892.0,Male,West
26,149662.0,Female,South
41,115057.0,Male,South
18,58409.0,Female,North
61,185542.0,Male,South
25,169457.0,Male,West
41,,Non-binary,South
28,138566.0,Male,West
34,81716.0,Female,North
25,109152.0,Female,South
52,46382.0,Male,West
52,96675.0,Male,East
50,42419.0,Female,West
22,101238.0,Male,West
59,190363.0,Female,North
56,32397.0,Non-binary,West
58,77888.0,Male,North
45,55169.0,Male,West
24,82182.0,Female,West
26,112476.0,Female,West
25,62249.0,Male,North
29,179413.0,Male,West
51,95603.0,Female,North
50,197216.0,Non-binary,East
65,99360.0,Male,North
40,33444.0,Male,East
41,196719.0,Non-binary,North
54,143662.0,Female,North
52,118843.0,Female,West
61,30974.0,Female,South
57,132150.0,Non-binary,South
39,189455.0,Female,West
44,114826.0,Female,East
52,117648.0,Female,West
18,154028.0,Female,South
52,159149.0,Male,North
54,56490.0,Male,West
64,144713.0,Female,East
31,75612.0,Male,West
20,120474.0,Female,South
18,56159.0,Male,North
22,59710.0,Female,South
43,164878.0,Male,South
31,133096.0,Female,South
56,127412.0,Female,South
44,114924.0,Male,North
26,26458.0,Female,South
32,150993.0,Male,East
32,,Male,East
43,157925.0,Male,South
59,60477.0,Male,East
30,52222.0,,South
49,38320.0,Male,North
56,114154.0,Female,North
49,,Male,East
21,196687.0,Female,East
47,168424.0,Male,South
54,92833.0,Female,West
40,113476.0,Female,South
56,134560.0,Female,South
62,154275.0,Male,North
32,59267.0,Female,West
60,57941.0,Male,West
46,102809.0,Male,South
53,45368.0,Male,North
30,97186.0,Male,East
49,50984.0,Female,North
24,193013.0,Female,East
39,20801.0,Male,North
45,126538.0,Male,West
19,132201.0,Male,North
59,67965.0,Female,South
62,105269.0,Female,East
23,161041.0,Male,North
45,55969.0,Female,North
45,183521.0,Female,East
61,111679.0,Female,North
61,176777.0,Female,East
37,48363.0,Female,West
47,181792.0,Female,East
28,161044.0,Male,East
45,53351.0,Male,West
42,131023.0,Male,North
56,187217.0,Female,North
50,107948.0,Female,West
18,76235.0,Male,South
44,34855.0,Male,East
30,,Female,North
58,197476.0,Female,North
20,170641.0,Female,East
56,145074.0,Female,East
23,74437.0,Female,East
25,199578.0,Male,South
44,176810.0,Male,West
26,157844.0,Male,South
54,110410.0,Female,South
50,39731.0,Male,East
59,161203.0,Female,West
61,86324.0,Female,North
41,101720.0,Male,East
32,116433.0,Female,West
49,22889.0,Male,North
49,29569.0,Male,South
41,107193.0,Female,West
58,105192.0,Male,South
29,107154.0,Female,South
56,128073.0,Female,West
19,27612.0,Non-binary,North
20,71644.0,Female,West
54,52069.0,Male,North
34,101741.0,Female,East
19,178403.0,Male,East
19,75897.0,Male,East
45,165006.0,Male,South
40,161167.0,Male,East
54,122544.0,Female,South
49,38706.0,Male,North
50,194588.0,Female,West
18,123602.0,Male,West
36,54629.0,Female,South
19,197982.0,Non-binary,South
61,144746.0,Male,South
43,40431.0,Female,North
49,60088.0,Male,North
23,195207.0,Male,East
49,189087.0,Female,East
21,51385.0,Female,West
28,90199.0,Male,East
34,58677.0,Male,North
55,138104.0,Male,North
41,32818.0,Female,North
22,83001.0,Female,North
51,175049.0,Female,West
23,69832.0,Female,West
39,60931.0,Female,North
28,103990.0,Female,South
65,92204.0,Female,East
33,65784.0,Female,West
50,126305.0,Female,South
26,29921.0,Female,East
23,54959.0,Female,South
33,,Non-binary,North
46,159931.0,Male,East
20,109506.0,Male,South
37,94408.0,Non-binary,West
53,143852.0,Male,West
36,46708.0,Female,West
43,38847.0,Male,East
20,,Male,North
36,145383.0,Male,North
37,24922.0,Male,East
49,72335.0,Male,East
24,146913.0,Female,North
58,164613.0,Female,West
50,39551.0,,North
57,170453.0,Male,North
56,133319.0,Female,South
35,75673.0,Female,West
57,121531.0,Female,East
18,42948.0,Female,North
28,112264.0,Male,West
45,79072.0,Male,East
42,87560.0,Male,South
40,,Male,South
48,86691.0,Female,West
47,161154.0,Male,North
59,122781.0,Female,East
52,104105.0,Non-binary,West
24,27086.0,Non-binary,South
33,147818.0,Non-binary,East
43,87853.0,Male,East
65,121925.0,Female,North
19,90027.0,Male,South
18,35916.0,Female,South
65,35248.0,Female,South
29,44226.0,Female,East
22,176097.0,Male,South
54,68380.0,Female,West
49,27848.0,Male,South
26,34274.0,Male,East
58,74545.0,Female,South
52,,Male,South
36,135981.0,,East
65,186305.0,Male,South
33,36304.0,Female,North
20,,Female,East
37,,Female,South
41,130777.0,Female,North
50,160497.0,Non-binary,West
41,,Male,East
28,113464.0,Non-binary,South
25,196062.0,Male,East
53,126748.0,Male,North
55,88295.0,Male,East
57,36091.0,Female,West
37,139943.0,Female,South
52,,Female,West
65,,Female,North
42,,Male,East
52,115696.0,Non-binary,South
42,171779.0,Male,South
46,166320.0,Female,North
35,91309.0,Male,North
63,166109.0,Female,East
35,87421.0,Male,South
19,,Male,North
52,33450.0,Male,South
33,29491.0,Male,East
58,137026.0,Male,West
53,94804.0,Male,North
50,113293.0,Female,East
21,139498.0,Female,West
50,157863.0,Female,East
31,125475.0,Female,North
38,48314.0,Female,East
65,71883.0,Female,South
37,,Female,North
25,121291.0,Male,South
24,29967.0,Female,East
20,63220.0,Male,North
34,156019.0,Female,South
50,190491.0,Female,South
65,76131.0,Male,South
29,48876.0,Female,West
39,121448.0,Male,South
39,171043.0,Male,South
63,69228.0,Male,East
47,,Female,East
55,48261.0,Female,East
55,126601.0,Female,East
62,,Male,West
25,154418.0,Female,East
44,76176.0,Female,East
44,72300.0,Male,East
51,162412.0,Female,South
38,53012.0,Male,West
47,186465.0,Male,East
50,122153.0,Female,South
45,176629.0,Female,North
64,93273.0,Male,West
50,132328.0,Male,East
22,130304.0,Male,South
65,126637.0,Male,North
36,168348.0,Male,North
21,74639.0,Male,South
52,141939.0,Female,South
34,27310.0,Male,West
61,186239.0,Female,South
45,,Female,East
47,161463.0,Male,North
46,142013.0,Male,East
63,,Female,East
23,96733.0,Male,East
52,187214.0,Male,North
58,196751.0,Male,North
54,192687.0,Female,North
41,198625.0,Female,South
46,129264.0,,East
63,99071.0,Female,West
48,192074.0,Male,South
52,142611.0,Male,South
50,90658.0,Male,West
38,29852.0,Male,East
49,25387.0,Male,West
40,147571.0,Male,North
50,117295.0,Male,East
20,150381.0,Male,South
35,59994.0,Male,North
42,136912.0,Non-binary,North
59,184797.0,Female,South
48,151632.0,,West
20,144210.0,Male,North
57,76565.0,Female,North
63,21312.0,Male,East
41,169277.0,Male,East
49,145882.0,Male,South
64,,Non-binary,South
39,107566.0,,South
40,41329.0,Male,West
19,88187.0,Male,North
44,95542.0,Male,South
59,128237.0,Male,East
19,134476.0,Male,North
43,55645.0,Male,South
34,107502.0,Female,North
57,107310.0,Male,North
50,89619.0,Male,North
26,53513.0,Male,South
60,28749.0,Male,North
65,181855.0,,North
56,80645.0,Male,North
46,73175.0,Female,East
59,168395.0,Female,South
43,70762.0,Non-binary,West
52,84222.0,Female,East
42,185565.0,Female,North
41,32213.0,Female,North
30,117367.0,Male,West
24,198002.0,Female,West
53,,,East
62,127157.0,Female,North
37,52583.0,Non-binary,West
18,148792.0,Female,East
25,99944.0,Female,West
63,42369.0,Female,North
33,199000.0,Female,North
31,,Female,North
29,39510.0,Non-binary,North
40,32120.0,Female,South
32,119847.0,Female,South
45,118575.0,Female,South
51,149269.0,Male,East
19,25295.0,Male,East
49,40460.0,Non-binary,West
40,34963.0,Female,West
39,97116.0,Male,East
42,47328.0,Male,West
39,104629.0,Female,East
39,144034.0,Female,South
59,41605.0,Female,East
23,130901.0,Female,East
32,195885.0,Male,West
60,197443.0,Male,West
54,128241.0,Male,East
50,67598.0,Female,North
25,92258.0,Male,West
61,60969.0,Female,East
61,187984.0,Female,West
22,189446.0,Female,North
56,82784.0,Non-binary,West
21,167000.0,Male,East
23,41274.0,Female,East
62,149994.0,Male,North
49,54416.0,Male,East
47,120434.0,Male,North
64,180119.0,Male,East
52,194428.0,Female,East
57,188206.0,Female,West
33,71310.0,Male,West
30,100758.0,Male,North
59,163435.0,Female,West
47,195635.0,Female,South
36,50628.0,Male,North
34,,Female,South
36,66246.0,Female,North
45,162233.0,Female,South
43,109110.0,Male,West
54,22810.0,Female,West
43,91688.0,Female,East
40,85548.0,Female,South
26,31162.0,Female,East
29,,Non-binary,North
18,93535.0,Male,South
18,158291.0,Non-binary,East
64,90864.0,Female,North
51,154693.0,Female,South
49,138371.0,Male,East
65,109792.0,Male,South
42,195505.0,Female,South
57,86188.0,Female,East
62,101718.0,Male,West
18,56558.0,Female,West
33,,Male,East
56,166731.0,,North
22,54413.0,Female,East
39,30435.0,Male,East
46,48067.0,Female,South
20,107794.0,Non-binary,West
29,113823.0,Male,West
43,89224.0,Female,West
33,21379.0,Male,West
54,122547.0,Female,East
39,128541.0,Male,South
46,178696.0,Male,West
31,134634.0,Male,West
45,148701.0,Male,South
22,77745.0,Female,East
64,123915.0,Male,East
47,163588.0,Male,East
63,149560.0,Female,West
22,175915.0,Female,West
29,,Female,West
33,,Non-binary,East
43,179869.0,Female,West
43,157521.0,Male,North
65,152797.0,Female,South
38,101406.0,Non-binary,North
56,29304.0,Male,North
53,145555.0,Male,West
50,164735.0,Male,South
47,90320.0,Male,North
54,114488.0,Female,East
40,95591.0,Female,East
27,115044.0,Non-binary,East
22,163748.0,Female,East
53,45192.0,Male,South
51,175794.0,Male,East
48,,,South
27,139304.0,Male,South
36,155797.0,Male,South
49,108207.0,Non-binary,South
18,93741.0,Female,West
22,36365.0,Male,North
62,,Female,West
21,166776.0,,North
33,,Male,West
41,180974.0,Female,East
33,139641.0,Male,South
19,152267.0,Female,East
45,73517.0,Non-binary,East
49,54012.0,Non-binary,East
44,162487.0,Male,West
37,190606.0,Male,East
41,41686.0,Male,South
29,179815.0,Female,South
52,52161.0,Male,North
50,22402.0,Male,West
50,83190.0,Male,South
60,33275.0,Male,South
54,179254.0,Male,West
